a.m.	[ˌeɪ ˈem] abbr. 上午，午前; 
abandon	[əˈbændən] vt. 放弃，抛弃;离弃，丢弃 n. 放任，放纵;完全屈从于压制 
abdomen	[ˈæbdəmən] n. 腹部 
abide	[əˈbaɪd] vt. 遵守;容忍，忍受 vi. 持续;经受住，顶住 
ability	[əˈbɪləti, əˈbɪlɪti] n. 能力，资格 
able	[ˈebəl, ˈeɪbl] adj. 能够的 
abolish	[əˈbɒlɪʃ, əˈbɑ:lɪʃ] vt. 消灭 
about	[əˈbaʊt] prep. 关于 adv. 大约 adj. 在附近的 
above	[əˈbʌv] prep. （表示程度）超过 adv. 以上 n. 上述 adj. 上述的 
abroad	[əˈbrɔ:d, əˈbrɔd] adv. 到国外，在海外 adj. 往国外的 n. 海外，异国 
abrupt	[əˈbrʌpt] adj. 陡峭的 
absence	[ˈæbsəns] n. 缺席，缺勤 
absent	[ˈæbsənt] adj. 缺席的，不在场的 
absolute	[ˈæbsəlu:t, ˈæbsəˌlut] adj. 绝对的，完全的;不受任何限制[约束]的 n. 绝对;绝对事物 
absorb	[əbˈsɔ:rb, əbˈsɔ:b] vt. 吸收（液体、气体等） 
abstract	[ˈæbˌstrækt, ˈæbstrækt] adj. 抽象的，理论上的 n. 摘要 vt. 提取，分离 
absurd	[əbˈsɜ:d, əbˈsɜ:rd] adj. 荒谬的;荒唐的 n. 无价值，无意义 
abundant	[əˈbʌndənt] adj. 大量的，充足的 
abuse	[əˈbjuz, əˈbju:s] n. 滥用;恶习 vt. 滥用;虐待 
academic	[ˌækəˈdɛmɪk, ˌækəˈdemɪk] adj. 学院的，大学的，学会的，（学术，文艺）协会的;学究的，学理上的，空谈的，非实用的 n. 学者;大学教师，大学生，学会会员 
accelerate	[ækˈsɛləˌret, əkˈseləreɪt] vt. 促进;（使）加快，（使）增速 vi. 加快，加速 
accent	[ˈæksent, ˈækˌsɛnt] n. 口音 
accept	[ækˈsɛpt, əkˈsept] vi. 承认;同意 vt. 接受;承认 
access	[ˈæksɛs, ˈækses] n. 入口，出口;接近，进入 vt. 接近，进入;使用，接近，获取 
accident	[ˈæksɪdənt, ˈæksɪdənt, -ˌdɛnt] n. 事故 
accidental	[ˌæksɪˈdɛntl, ˌæksɪˈdentl] adj. 意外的，偶然（发生）的;附属的 n. 偶然;次要方面 
accommodate	[əˈkɒmədeɪt, əˈkɑ:mədeɪt] vt. 容纳;使适应 vi. [后面省去反身代词]适应于;（眼）作调节，调节眼球的晶状体（使其变得适应不同距离的物体） 
accommodations	[əkɒmə'deɪʃnz] n. 住宿 
accompany	[əˈkʌmpəni, əˈkʌmpəni, əˈkʌmpni] vt. 陪伴，陪同;附加，补充 vi. 伴奏 
accomplish	[əˈkʌmplɪʃ, əˈkɑ:mplɪʃ] vt. 完成 
according to	[əˈkɔ:dɪŋ tə, əˈkɔ:rdɪŋ tə] na. 根据，按照 
account	[əˈkaʊnt] n. 账，账目 vi. 解释 vt. 认为 
accumulate	[əˈkju:mjəleɪt, əˈkjumjəˌlet] vt.&vi. 堆积，积累 vi. （数量）逐渐增加，（质量）渐渐提高 
accurate	[ˈækjərət, ˈækjərɪt] adj. 精确的，准确的 
accuse	[əˈkju:z, əˈkjuz] v. 指控 
accustom	[əˈkʌstəm] vt. 使习惯 
ache	[ek, eɪk] n. 疼痛 vi. 疼痛;渴望 
achieve	[əˈtʃi:v, əˈtʃiv] vt. 实现;取得 vi. 达到预期的目的，实现预期的结果，如愿以偿 
acid	[ˈæsɪd] adj. 酸的;酸性的 n. <化>酸;酸味物质 
acquaint	[əˈkweɪnt, əˈkwent] vt. 使熟悉 
acquaintance	[əˈkweɪntəns, əˈkwentəns] n. 相识 
acquire	[əˈkwaɪə(r), əˈkwaɪr] vt. 学到 
acre	[ˈekɚ, ˈeɪkə(r)] n. 英亩 
acrobat	[ˈækrəbæt, ˈækrəˌbæt] n. 杂技演员 
across	[əˈkrɔ:s, əˈkrɒs] prep. 穿过;横穿，横过 adv. 横过，越过;在对面 
act	[ækt] v. 行动;表演 n. 行为;行动 
action	[ˈækʃən, ˈækʃn] n. 行动，活动 
active	[ˈæktɪv] adj. 积极的，活跃的，有生气的;迅速的，敏捷的 n. [语法]主动语态;积极分子，活跃的人 
activity	[ækˈtɪvɪti, ækˈtɪvəti] n. 活动 
actor	[ˈæktə(r), ˈæktɚ] n. 行动者 
actress	[ˈæktrəs, ˈæktrɪs] n. 女演员 
actual	[ˈæktʃuəl] adj. 实际的 
ad	[æd] n. 广告 
ad.	[] abbr. 副词 
adapt	[əˈdæpt] vi. 适应于，适应不同情况（或环境）(to) vt. 改编，改写;改变…以适合(for) 
add	[æd] vt. 增加 vi. 增加 n. 加法，加法运算 
addition	[əˈdɪʃn, əˈdɪʃən] n. 加，增加，附加 
additional	[əˈdɪʃənl, ə'dɪʃənl] adj. 补充 
address	[ˈædres, əˈdres] n. 地址;称呼 v. 称呼;演说 
adequate	[ˈædɪkwɪt, ˈædɪkwət] adj. 足够的 
adhere	[ədˈhɪə(r), ədˈhɪr] vi. 坚持;附着 vt. 使粘附;遵循，坚持 
adjective	[ˈædʒɪktɪv] n. 形容词 adj. 形容词的;附属的，不独立的 
adjust	[əˈdʒʌst] vt.&vi. （改变…以）适应，调整，校正 
administration	[ ædˌmɪnɪˈstreʃən, ədˌmɪnɪˈstreɪʃn] n. 管理 
admire	[ædˈmaɪr, ədˈmaɪə(r)] vt. 欣赏 
